#Table1
specobjid,objid,ra,dec,u,g,r,i,z,class,redshift
391936066040391680,1237648675071132738,248.783087081706,0.802443800376718,21.31055,18.71729,17.2991,16.70556,16.33871,GALAXY,0.2065565
391960530174109696,1237648675071197670,248.937916231756,0.776974342303726,16.98021,15.71432,15.50255,15.45817,15.40867,STAR,-0.0004125551
391960255296202752,1237648675071263322,248.982069719821,0.737617167186525,19.54016,17.90658,17.25911,17.01049,16.87026,STAR,-0.0001192397
391961079929923584,1237648675071329364,249.098649852547,0.791697510428871,23.23132,19.87699,18.0888,17.44938,17.02326,GALAXY,0.3207301
391972349924108288,1237648675071459657,249.501514967608,0.788275925402482,18.44934,18.81615,19.27639,19.58418,19.78734,STAR,-0.0003132167
391972075046201344,1237648675071460094,249.479311878075,0.79597771764627,19.72725,18.24207,17.65169,17.28164,17.07238,GALAXY,0.08474916
391981695772944384,1237648675071525071,249.616172454365,0.811166516584682,18.27879,16.85334,16.2823,16.07612,16.00043,STAR,8.761073E-05
391981420895037440,1237648675071525222,249.679882674704,0.798560673368842,19.5635,18.33654,17.72666,17.37551,17.21048,GALAXY,0.1026237
391983070162479104,1237648675071525671,249.639176896204,0.77070294776827,20.57895,18.7357,17.65866,17.20189,16.88333,GALAXY,0.1509493
391982520406665216,1237648675071526001,249.683797644217,0.814193967531903,25.63753,20.27842,18.45155,17.78801,17.35911,GALAXY,0.3502668
391979771627595776,1237648675071590548,249.723574329521,0.811281969479589,18.46135,16.32994,15.56006,15.33107,15.21756,STAR,6.71668E-05
391978672115968000,1237648675071590684,249.758313289697,0.831323720390261,19.04569,16.73251,15.79382,15.43086,15.21293,STAR,-1.363778E-05
385213652283713536,1237648675603087545,237.566177994223,1.2114185693274,18.39806,16.82707,16.15164,15.87068,15.70315,STAR,-0.000190514
385213927161620480,1237648675603087714,237.528235918512,1.17246818046962,19.3612,17.4784,16.80899,16.57395,16.45595,STAR,-7.384138E-05
385213377405806592,1237648675603153235,237.649480632532,1.12996854316495,19.40331,18.21209,17.63813,17.21235,17.00459,GALAXY,0.08897925
385214202039527424,1237648675603153394,237.633362816566,1.23254942881715,21.82803,19.48016,17.89039,17.27663,16.8887,GALAXY,0.2864824
385226021789526016,1237648675603153490,237.65294247241,1.19838036269122,22.07256,21.12804,19.91806,19.50214,19.10876,QSO,1.112552
385222998132549632,1237648675603153749,237.654796778605,1.22845018072593,25.64181,21.79014,19.84152,19.0317,18.67757,GALAXY,0.4698426
385214476917434368,1237648675603154095,237.5828987528,1.11380621756504,23.061,24.0447,22.86246,20.31319,18.83297,STAR,-0.0001382294
385224922277898240,1237648675603218725,237.743654527059,1.11950445035771,19.68017,20.06678,20.54668,20.83747,20.72426,STAR,0.00109002
385225472033712128,1237648675603218728,237.74497616477,1.20286757798458,20.76065,18.52161,17.35407,16.82093,16.38218,GALAXY,0.1424906
385223273010456576,1237648675603218762,237.766900623763,1.17674210018261,20.19482,18.25094,17.1678,16.67005,16.3252,GALAXY,0.166602
385223822766270464,1237648675603284150,237.868663885372,1.2044817372852,19.91713,17.2993,15.91898,15.30597,14.88059,STAR,-4.027948E-05
385223547888363520,1237648675603284221,237.929171492867,1.13460247119238,19.90655,18.31481,17.49024,16.9968,16.59412,GALAXY,0.08769272
385224372522084352,1237648675603284379,237.875237438167,1.11322545854603,25.87003,20.28,18.46887,17.82702,17.32402,GALAXY,0.3402346
385224097644177408,1237648675603284401,237.927604249963,1.15488401449068,20.49991,18.54588,17.48281,16.91691,16.43251,GALAXY,0.08945534
385226296667432960,1237648675603284447,237.894973949908,1.09259946266255,23.7293,21.24063,19.80853,18.9007,18.39746,STAR,-6.287116E-05
386272207120132096,1237648675603415445,238.296217283342,1.13956692475383,19.89297,19.59899,19.39737,19.02811,19.00006,QSO,1.816166
386284301748037632,1237648675603415486,238.316479761173,1.13617607326289,20.72661,18.62565,17.12899,16.55382,16.13172,GALAXY,0.2260185
386284576625944576,1237648675603480724,238.418151352715,1.22644824001146,19.37699,19.29841,19.50462,19.67,19.92975,STAR,-2.19544E-05
386294197352687616,1237648675603546198,238.553538849913,1.18885049407884,18.78255,18.51415,18.78695,19.00289,19.33833,STAR,-9.847474E-05
386294747108501504,1237648675603546205,238.568454060323,1.24842301378368,20.25117,17.73407,16.64751,16.08248,15.94922,STAR,-0.0001351516
386295021986408448,1237648675603546980,238.575688605125,1.06986258211524,23.67047,20.98543,18.97935,18.31679,17.91835,GALAXY,0.3400926
386297495887570944,1237648675603611961,238.68714722799,1.08402394419129,20.5132,18.35033,17.15195,16.65387,16.21737,GALAXY,0.1264581
386295846620129280,1237648675603612040,238.739594434538,1.08211590374787,19.61848,19.33509,18.97515,18.87846,18.8219,QSO,1.386899
386296396375943168,1237648675603612095,238.638635375436,1.16183877108062,19.65629,18.23695,17.40438,16.97411,16.61696,GALAXY,0.1589259
386310140271290368,1237648675603677301,238.847700474763,1.15592936462074,17.22217,15.91736,15.40447,15.19519,15.08675,STAR,-0.0003607571
386307391492220928,1237648675603677570,238.889882877775,1.20231450034743,19.37122,17.874,17.23508,16.81075,16.53594,GALAXY,0.06984673
